,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd_pledged,name,duration,avg_pledge,deadline_year,launched_year,deadline_month,launched_month,pred_usd_pledged
16,Music,USD,2012-08-17 14:11:32,250.0,2012-08-02 14:11:32,250.0,successful,7,US,250.0,Mike Corey's Darkness & Light Album,15,35.714285714285715,2012,2012,8,8,2414.786376953125
104,Music,USD,2016-05-18 19:48:00,6325.0,2016-03-19 21:51:03,10.0,failed,2,US,10.0,The Legendary YD 2016 Tour,59,5.0,2016,2016,5,3,2526.810546875
214,Comics,USD,2011-06-04 21:36:40,5150.0,2011-04-25 21:36:40,5965.5,successful,97,US,5965.5,Equinox: my first comic (genre: fantasy),40,61.5,2011,2011,6,4,8110.8525390625
251,Technology,USD,2016-10-21 10:00:03,25000.0,2016-09-06 10:00:03,227673.0,successful,2278,US,16679.0,XPUMP | TURN ANY SOUND SOURCE INTO A HOME THEATER EXPERIENCE,45,7.321773485513608,2016,2016,10,9,5674.73681640625
466,Design,USD,2013-10-18 19:24:11,15000.0,2013-09-03 19:24:11,926.0,failed,16,US,926.0,Photoshop for illustrators and designers.,45,57.875,2013,2013,10,9,19489.15234375
470,Art,USD,2013-10-31 19:07:00,100000.0,2013-09-24 07:44:13,116655.41,successful,1711,US,116655.41,Painting an entire favela in Rio de Janeiro,37,68.17966686148452,2013,2013,10,9,2351.080078125
795,Games,USD,2016-03-03 12:39:32,15000.0,2016-02-02 12:39:32,147526.0,successful,3527,US,147526.0,Disgruntled Decks: The Original Card Game For Veterans.,30,41.82761553728381,2016,2016,3,2,7413.169921875
806,Food,USD,2013-03-02 18:06:17,30000.0,2013-01-25 18:06:17,40062.0,successful,117,US,40062.0,Bringing Patrizi's Back: A family food truck experience,36,342.4102564102564,2013,2013,3,1,24625.533203125
887,Food,USD,2013-04-28 07:37:11,28000.0,2013-03-29 06:37:11,28036.0,successful,75,US,28036.0,Finish El Toro The Tot Food Trailer!!,30,373.81333333333333,2013,2013,4,3,3187.021484375
1117,Film & Video,GBP,2016-09-22 19:33:08,150.0,2016-08-23 19:33:08,0.0,failed,0,GB,0.0,The Package III DVD,30,,2016,2016,9,8,3593.03564453125
1175,Other,USD,2011-11-03 00:03:30,2500.0,2011-10-04 01:03:30,2607.0,successful,31,US,2607.0,Chinese Seal Carving,29,84.09677419354838,2011,2011,11,10,4161.7021484375
1228,Film & Video,USD,2014-05-24 01:18:30,5000.0,2014-04-24 01:18:30,5130.0,successful,23,US,5130.0,Wiener Dog Internationals,30,223.04347826086956,2014,2014,5,4,4368.80029296875
1292,Film & Video,USD,2016-06-30 15:49:00,5000.0,2016-05-16 02:15:05,6652.0,successful,60,US,6652.0,"""Support the Alzheimer's/FTD Documentary """"Susan's Story""""""",45,110.86666666666666,2016,2016,6,5,7743.6044921875
1300,Film & Video,USD,2012-05-25 16:30:00,79800.0,2012-04-12 19:39:34,210.0,failed,6,US,210.0,"""""""Shoes""""""",42,35.0,2012,2012,5,4,16296.208984375
1392,Games,USD,2013-08-18 02:00:00,9750.0,2013-07-15 22:31:37,21.0,failed,5,US,21.0,Card Counting. A strategic player vs. player game.,33,4.2,2013,2013,8,7,9802.951171875
1547,Games,USD,2016-04-06 00:29:42,2000.0,2016-03-07 00:29:42,660.0,failed,18,US,660.0,Happy's Tech Lab,30,36.666666666666664,2016,2016,4,3,18386.767578125
1572,Games,USD,2016-07-29 05:00:00,3850.0,2016-06-28 19:41:28,9516.0,successful,326,US,4403.0,Wild Kingdom Playing Cards,30,13.506134969325153,2016,2016,7,6,15491.1298828125
1584,Photography,USD,2012-10-12 23:00:00,30000.0,2012-09-12 12:31:24,10896.0,failed,171,US,10896.0,MAN ON THE MOON exhibit at Space Center Houston,30,63.719298245614034,2012,2012,10,9,2860.61767578125
1642,Technology,USD,2012-02-03 22:10:53,75000.0,2011-12-05 22:10:53,280.0,failed,9,US,280.0,HARP Sounding Rocket,60,31.11111111111111,2012,2011,2,12,1283.3505859375
1696,Design,GBP,2014-10-08 13:10:02,3000.0,2014-08-09 13:10:02,60.0,failed,3,GB,100.854405,Venture Manchester - Parkour Hub,60,33.618135,2014,2014,10,8,4776.97021484375
1702,Music,USD,2012-10-15 08:30:44,547.0,2012-09-15 08:30:44,900.11,successful,52,US,900.11,Will The Creature From Dell Pond press vinyl? You decide!,30,17.309807692307693,2012,2012,10,9,3158.1025390625
1829,Design,USD,2015-06-04 19:59:20,115000.0,2015-05-05 19:59:20,45.0,failed,1,US,45.0,Hand Free Baby Bottle Holder! Feed your baby with one hand!,30,45.0,2015,2015,6,5,4291.2587890625
